holding_id,holding_name,ticker_or_proxy,proxy_name,risk_proxy_bucket,asset_class,gics_sector,region_taxonomy,liquidity_bucket,use_in_final_risk_module,mapping_confidence,mapping_method,mapping_notes
H_SPY,SPDR S&P 500 ETF,SPY,SPY,Global Public Equities,Global Public Equities,Multi-Sector / Diversified,North America,Liquid,True,1.0,lookthrough,Broad US equity beta.
H_QQQ,Invesco QQQ Trust,QQQ,QQQ,Global Public Equities,Global Public Equities,Information Technology,North America,Liquid,True,1.0,lookthrough,Technology-heavy growth proxy.
H_ACWI,iShares MSCI ACWI ETF,ACWI,ACWI,Global Public Equities,Global Public Equities,Multi-Sector / Diversified,Global / Multi-region,Liquid,True,1.0,lookthrough,Global developed and emerging exposure.
H_BRKB,Berkshire Hathaway Class B,BRK.B,BRK.B,Global Public Equities,Global Public Equities,Financials,North America,Liquid,True,1.0,direct,Single-name equity.
H_MSFT,Microsoft,MSFT,MSFT,Global Public Equities,Global Public Equities,Information Technology,North America,Liquid,True,1.0,direct,Single-name equity.
H_GOOGL,Alphabet Class A,GOOGL,GOOGL,Global Public Equities,Global Public Equities,Communication Services,North America,Liquid,True,1.0,direct,Single-name equity.
H_NVDA,NVIDIA,NVDA,NVDA,Global Public Equities,Global Public Equities,Information Technology,North America,Liquid,True,1.0,direct,Single-name equity.
H_2800HK,Tracker Fund of Hong Kong ETF,2800.HK,2800.HK,Global Public Equities,Global Public Equities,Multi-Sector / Diversified,Greater China,Liquid,True,1.0,lookthrough,Greater China public equity exposure.
H_HSTECH,Hang Seng TECH ETF-style Exposure,3067.HK,3067.HK,Global Public Equities,Global Public Equities,Information Technology,Greater China,Liquid,True,1.0,lookthrough,Greater China technology beta.
H_BABA,Alibaba ADR,BABA,BABA,Global Public Equities,Global Public Equities,Consumer Discretionary,Greater China,Liquid,True,1.0,direct,Single-name equity.
H_PDD,PDD Holdings ADR,PDD,PDD,Global Public Equities,Global Public Equities,Consumer Discretionary,Greater China,Liquid,True,1.0,direct,Single-name equity.
H_JD,JD.com ADR,JD,JD,Global Public Equities,Global Public Equities,Consumer Discretionary,Greater China,Liquid,True,1.0,direct,Single-name equity.
H_CNYA,iShares MSCI China A ETF,CNYA,CNYA,Global Public Equities,Global Public Equities,Multi-Sector / Diversified,Greater China,Liquid,True,1.0,lookthrough,A-shares allocation.
H_EWJ,iShares MSCI Japan ETF,EWJ,EWJ,Global Public Equities,Global Public Equities,Multi-Sector / Diversified,Japan,Liquid,True,1.0,lookthrough,Japan allocation.
H_INDA,iShares MSCI India ETF,INDA,INDA,Global Public Equities,Global Public Equities,Multi-Sector / Diversified,India,Liquid,True,1.0,lookthrough,India allocation.
H_EWY,iShares MSCI South Korea ETF,EWY,EWY,Global Public Equities,Global Public Equities,Multi-Sector / Diversified,Korea,Liquid,True,1.0,lookthrough,Korea allocation.
H_EWS,iShares MSCI Singapore ETF,EWS,EWS,Global Public Equities,Global Public Equities,Multi-Sector / Diversified,Southeast Asia,Liquid,True,1.0,lookthrough,Southeast Asia allocation.
H_EEM,iShares MSCI Emerging Markets ETF,EEM,EEM,Global Public Equities,Global Public Equities,Multi-Sector / Diversified,Global / Multi-region,Liquid,True,1.0,lookthrough,Broad EM exposure.
H_AGG,iShares Core US Aggregate Bond ETF,AGG,AGG,Fixed Income & Liquid Credit,Fixed Income & Liquid Credit,Fixed Income / Credit,North America,Liquid,True,1.0,benchmark_proxy,Bond beta.
H_TLT,iShares 20+ Year Treasury Bond ETF,TLT,TLT,Fixed Income & Liquid Credit,Fixed Income & Liquid Credit,Fixed Income / Sovereign,North America,Liquid,True,1.0,benchmark_proxy,Rates exposure.
H_IGIB,iShares 5-10 Year Investment Grade Corporate Bond ETF,IGIB,IGIB,Fixed Income & Liquid Credit,Fixed Income & Liquid Credit,Fixed Income / Credit,North America,Liquid,True,1.0,benchmark_proxy,Credit exposure.
H_HYG,iShares High Yield Corporate Bond ETF,HYG,HYG,Fixed Income & Liquid Credit,Fixed Income & Liquid Credit,Fixed Income / Credit,North America,Liquid,True,1.0,benchmark_proxy,High-yield exposure.
H_EMB,iShares Emerging Markets Bond ETF,EMB,EMB,Fixed Income & Liquid Credit,Fixed Income & Liquid Credit,Fixed Income / Credit,Global / Multi-region,Liquid,True,1.0,benchmark_proxy,Emerging market debt exposure.
H_LQD,iShares Investment Grade Corporate Bond ETF,LQD,LQD,Fixed Income & Liquid Credit,Fixed Income & Liquid Credit,Fixed Income / Credit,North America,Liquid,True,1.0,benchmark_proxy,Additional credit exposure.
H_GLD,SPDR Gold Shares,GLD,GLD,Hedge Funds / Absolute Return,Hedge Funds / Absolute Return,Commodities / Precious Metals,Global / Multi-region,Liquid,True,1.0,benchmark_proxy,Defensive gold allocation.
H_BIL,SPDR 1-3 Month T-Bill ETF,BIL,BIL,Fixed Income & Liquid Credit,Fixed Income & Liquid Credit,Fixed Income / Sovereign,North America,Liquid,True,1.0,benchmark_proxy,T-bill sleeve and risk-free proxy anchor.
H_DBMF,Managed Futures ETF Proxy,DBMF,DBMF,Hedge Funds / Absolute Return,Hedge Funds / Absolute Return,Multi-Strategy,Global / Multi-region,Liquid,True,1.0,benchmark_proxy,Liquid alternatives sleeve.
H_QAI,Multi-Strategy Liquid Alternatives ETF Proxy,QAI,QAI,Hedge Funds / Absolute Return,Hedge Funds / Absolute Return,Multi-Strategy,Global / Multi-region,Liquid,True,1.0,benchmark_proxy,Liquid alternatives sleeve.
H_ES_SHORT,S&P 500 Overlay Short Future,SPY,SPY,Global Public Equities,Global Public Equities,Multi-Sector / Diversified,North America,Liquid,True,0.82,underlying_proxy,Signed notional retained for short overlay.
H_NQ_SHORT,Nasdaq Overlay Short Future,QQQ,QQQ,Global Public Equities,Global Public Equities,Information Technology,North America,Liquid,True,0.82,underlying_proxy,Short technology beta hedge.
H_SPY_PUT,S&P 500 Protective Put Overlay,SPY,SPY,Global Public Equities,Global Public Equities,Multi-Sector / Diversified,North America,Liquid,True,0.82,underlying_proxy,Delta-adjusted option hedge.
H_HSI_FUT,Hang Seng Index Tactical Long Future,2800.HK,2800.HK,Global Public Equities,Global Public Equities,Multi-Sector / Diversified,Greater China,Liquid,True,0.82,underlying_proxy,Directional Greater China tactical future.
