fund_id,fund_name,asset_class,strategy,geography,vintage_year,currency,manager_name,legal_entity_id,total_commitment_usd_m,status,investment_geography,mandate_sector,sub_strategy,proxy_ticker_or_bucket,proxy_mapping_confidence
PF_NORTHSTAR_IV,Northstar Buyout Fund IV,Private Equity,Buyout,North America,2019,USD,Northstar Capital,ENT_ATLAS_INV_USD,60,Active,North America,Industrials,Buyout,ACWI,0.74
PF_HARBOR_PEAK_V,Harbor Peak Partners V,Private Equity,Secondaries,Global / Multi-region,2020,USD,Harbor Capital,ENT_ATLAS_INV_USD,45,Active,Global / Multi-region,Diversified / Secondaries,Secondaries,ACWI,0.74
PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,Private Equity,Co-investment,North America,2021,USD,Atlas Capital,ENT_ATLAS_INV_USD,25,Active,North America,Business Services,Co-investment,ACWI,0.74
PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,Private Equity,Secondaries,Global / Multi-region,2022,USD,Apex Capital,ENT_ATLAS_INV_USD,25,Active,Global / Multi-region,Diversified / Secondaries,Secondaries,ACWI,0.74
PF_DRAGONBRIDGE,DragonBridge Greater China Fund,Private Equity,Asia Buyout / Greater China,Greater China,2023,USD,DragonBridge Capital,ENT_ATLAS_INV_USD,25,Active,Greater China,Consumer / Industrials,Asia Buyout / Greater China,ACWI,0.74
PF_BLUE_HORIZON_III,Blue Horizon Ventures III,Venture Capital / Growth,US Technology VC,North America,2024,USD,Blue Capital,ENT_ATLAS_INV_USD,35,Active,North America,Information Technology,US Technology VC,QQQ,0.7
PF_GLOBAL_GROWTH_II,Redwood Growth Fund II,Venture Capital / Growth,Global Growth Equity,Global / Multi-region,2025,USD,Redwood Capital,ENT_ATLAS_INV_USD,30,Active,Global / Multi-region,Information Technology / Consumer,Global Growth Equity,QQQ,0.7
PF_SEEDSPRING_I,SeedSpring Southeast Asia VC Fund I,Venture Capital / Growth,Southeast Asia VC,Southeast Asia,2019,USD,SeedSpring Capital,ENT_ATLAS_INV_USD,25,Active,Southeast Asia,Information Technology / Consumer,Southeast Asia VC,QQQ,0.7
PF_INDIA_DIGITAL,Indigo India Digital Growth Fund,Venture Capital / Growth,India Digital Growth,India,2020,USD,Indigo Capital,ENT_ATLAS_INV_USD,15,Active,India,Information Technology,India Digital Growth,QQQ,0.7
PF_CLIMATE_ALPHA,Climate Alpha Fund,Venture Capital / Growth,Climate Technology,Global / Multi-region,2021,USD,Climate Capital,ENT_ATLAS_INV_USD,15,Active,Global / Multi-region,Climate / Industrials,Climate Technology,QQQ,0.7
PF_CRESCENT_DIRECT_LEND,Crescent Direct Lending Fund,Private Credit,Senior Direct Lending,North America,2022,USD,Crescent Capital,ENT_ATLAS_INV_USD,25,Active,North America,Diversified Credit,Senior Direct Lending,HYG,0.82
PF_SPRING_OPP_CREDIT,Spring Point Opportunistic Credit Fund,Private Credit,Opportunistic Credit,Global / Multi-region,2023,USD,Spring Capital,ENT_ATLAS_INV_USD,20,Active,Global / Multi-region,Special Situations Credit,Opportunistic Credit,HYG,0.82
PF_COVE_SPECIALTY_FIN,Cove Specialty Finance Fund,Private Credit,Specialty Finance,North America,2024,USD,Cove Capital,ENT_ATLAS_INV_USD,20,Active,North America,Financials,Specialty Finance,HYG,0.82
PF_LIONROCK_CREDIT,LionRock Asia Private Credit Fund,Private Credit,Asia Private Credit,Southeast Asia,2025,USD,LionRock Capital,ENT_ATLAS_INV_USD,20,Active,Southeast Asia,Diversified Credit,Asia Private Credit,HYG,0.82
PF_HARBOUR_CORE_RE,Harbour Core Real Estate Fund,Real Estate,Core Real Estate,Global / Multi-region,2019,USD,Harbour Capital,ENT_ATLAS_INV_USD,25,Active,Global / Multi-region,Real Estate,Core Real Estate,VNQ,0.76
PF_METRO_LOGISTICS,Metro Logistics Fund,Real Estate,Logistics Real Estate,Southeast Asia,2020,USD,Metro Capital,ENT_ATLAS_INV_USD,20,Active,Southeast Asia,Industrial Real Estate,Logistics Real Estate,VNQ,0.76
PF_HOME_MULTIFAMILY,HomeStone Multifamily Fund,Real Estate,US Multifamily,North America,2021,USD,HomeStone Capital,ENT_ATLAS_INV_USD,15,Active,North America,Residential Real Estate,US Multifamily,VNQ,0.76
PF_APAC_LOGISTICS,APAC Logistics Real Estate Fund,Real Estate,APAC Logistics,Japan,2022,USD,APAC Capital,ENT_ATLAS_INV_USD,15,Active,Japan,Industrial Real Estate,APAC Logistics,VNQ,0.76
PF_INFRA_CORE,Evergreen Core Infrastructure Fund,Infrastructure,Core Infrastructure,Global / Multi-region,2023,USD,Evergreen Capital,ENT_ATLAS_INV_USD,15,Active,Global / Multi-region,Infrastructure,Core Infrastructure,IFRA,0.72
PF_RENEWABLES_II,SolarBridge Renewables Fund II,Infrastructure,Renewables,Global / Multi-region,2024,USD,SolarBridge Capital,ENT_ATLAS_INV_USD,15,Active,Global / Multi-region,Utilities / Infrastructure,Renewables,IFRA,0.72
PF_DIGITAL_INFRA,Horizon Digital Infrastructure Fund,Infrastructure,Digital Infrastructure,Global / Multi-region,2025,USD,Horizon Capital,ENT_ATLAS_INV_USD,10,Active,Global / Multi-region,Diversified,Digital Infrastructure,IFRA,0.72
