as_of_date,fund_id,fund_name,commitment_usd_m,paid_in_capital_usd_m,unfunded_commitment_usd_m,current_nav_usd_m,last_statement_date,valuation_status,proxy_mapping_flag,asset_class,strategy,sub_strategy,investment_geography,mandate_sector,proxy_ticker_or_bucket,proxy_mapping_confidence,reporting_cadence,source_document_id,update_type,extraction_mode,update_applied_flag,update_reason
2026-04-30,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,60,40,20,35.0,2026-03-31,Quarterly manager statement received for Q1 2026.,True,Private Equity,Buyout,Buyout,North America,Industrials,ACWI,0.74,Quarterly,PDF_004,capital_statement,baseline,True,Applied approved capital statement to baseline position.
2026-04-30,PF_HARBOR_PEAK_V,Harbor Peak Partners V,45,35,10,30.0,2026-03-31,Quarterly manager statement received for Q1 2026.,True,Private Equity,Secondaries,Secondaries,Global / Multi-region,Diversified / Secondaries,ACWI,0.74,Quarterly,,,,,
2026-04-30,PF_ATLAS_COINV_I,Atlas Co-Investment Fund I,25,22,3,22.0,2026-03-31,Quarterly co-investment marks carried from Q1 2026 close.,True,Private Equity,Co-investment,Co-investment,North America,Business Services,ACWI,0.74,Quarterly,,,,,
2026-04-30,PF_APEX_SECONDARIES_II,Apex Secondaries Fund II,25,20,5,20.0,2026-03-31,Quarterly secondaries report received for Q1 2026.,True,Private Equity,Secondaries,Secondaries,Global / Multi-region,Diversified / Secondaries,ACWI,0.74,Quarterly,,,,,
2026-04-30,PF_DRAGONBRIDGE,DragonBridge Greater China Fund,25,13,12,28.0,2026-02-28,Quarterly GP package pending; February 2026 internal mark held.,True,Private Equity,Asia Buyout / Greater China,Asia Buyout / Greater China,Greater China,Consumer / Industrials,ACWI,0.74,Quarterly,,,,,
2026-04-30,PF_BLUE_HORIZON_III,Blue Horizon Ventures III,35,20,15,18.0,2026-03-31,Quarterly venture marks received for Q1 2026.,True,Venture Capital / Growth,US Technology VC,US Technology VC,North America,Information Technology,QQQ,0.7,Quarterly,,,,,
2026-04-30,PF_GLOBAL_GROWTH_II,Redwood Growth Fund II,30,22,8,20.0,2026-03-31,Quarterly growth equity statement received for Q1 2026.,True,Venture Capital / Growth,Global Growth Equity,Global Growth Equity,Global / Multi-region,Information Technology / Consumer,QQQ,0.7,Quarterly,,,,,
2026-04-30,PF_SEEDSPRING_I,SeedSpring Southeast Asia VC Fund I,25,13,12,10.0,2026-02-28,Quarterly Southeast Asia VC report pending; February 2026 estimate retained.,True,Venture Capital / Growth,Southeast Asia VC,Southeast Asia VC,Southeast Asia,Information Technology / Consumer,QQQ,0.7,Quarterly,,,,,
2026-04-30,PF_INDIA_DIGITAL,Indigo India Digital Growth Fund,15,10,5,12.0,2026-02-28,Quarterly India growth report pending; February 2026 estimate retained.,True,Venture Capital / Growth,India Digital Growth,India Digital Growth,India,Information Technology,QQQ,0.7,Quarterly,,,,,
2026-04-30,PF_CLIMATE_ALPHA,Climate Alpha Fund,15,10,5,15.0,2026-03-15,Quarterly climate fund package partially received; mid-March estimate applied.,True,Venture Capital / Growth,Climate Technology,Climate Technology,Global / Multi-region,Climate / Industrials,QQQ,0.7,Quarterly,,,,,
