fund_name,cashflow_type,cashflow_date,expected_cash_inflow_usd_m,currency,source_document_id,update_type,liquidity_treatment,extraction_mode,update_applied_flag,update_reason,gross_distribution_usd_m,net_distribution_usd_m,document_id
Harbour Core Real Estate Fund,distribution,2025-07-31,1.4,USD,DIST_PRE_002,historical_distribution,historical_reference,baseline_history,True,Seeded approved historical distribution into private market cashflow history.,1.4,1.4,
Crescent Direct Lending Fund,capital_call,2025-08-29,-1.8,USD,CC_PRE_003,historical_capital_call,historical_reference,baseline_history,True,Seeded approved historical capital call into private market cashflow history.,,,
Crescent Direct Lending Fund,distribution,2025-10-31,1.7,USD,DIST_PRE_003,historical_distribution,historical_reference,baseline_history,True,Seeded approved historical distribution into private market cashflow history.,1.7,1.7,
HomeStone Multifamily Fund,capital_call,2025-11-03,-2.2,USD,CC_PRE_004,historical_capital_call,historical_reference,baseline_history,True,Seeded approved historical capital call into private market cashflow history.,,,
Northstar Buyout Fund IV,capital_call,2025-11-30,-3.2,USD,CC_PRE_001,historical_capital_call,historical_reference,baseline_history,True,Seeded approved historical capital call into private market cashflow history.,,,
Evergreen Core Infrastructure Fund,distribution,2025-12-31,1.2,USD,DIST_PRE_004,historical_distribution,historical_reference,baseline_history,True,Seeded approved historical distribution into private market cashflow history.,1.2,1.2,
Harbor Peak Partners V,distribution,2026-01-31,2.1,USD,DIST_PRE_001,historical_distribution,historical_reference,baseline_history,True,Seeded approved historical distribution into private market cashflow history.,2.1,2.1,
Blue Horizon Ventures III,capital_call,2026-02-28,-1.4,USD,CC_PRE_002,historical_capital_call,historical_reference,baseline_history,True,Seeded approved historical capital call into private market cashflow history.,,,
Evergreen Core Infrastructure Fund,capital_call,2026-03-27,-1.6,USD,CC_PRE_005,historical_capital_call,historical_reference,baseline_history,True,Seeded approved historical capital call into private market cashflow history.,,,
Blue Horizon Ventures III,distribution,2026-03-31,0.9,USD,DIST_PRE_005,historical_distribution,historical_reference,baseline_history,True,Seeded approved historical distribution into private market cashflow history.,0.9,0.9,
Harbor Peak Partners V,distribution,2026-05-31,3.1,USD,PDF_003,distribution,projected_distribution,intake,True,Approved distribution captured as a projected inflow; baseline cash remains unchanged until a future official close.,3.1,3.1,PDF_003
