event_id,document_id,event_date,notice_date,fund_id,raw_fund_name,mapped_fund_name,investor_entity_id,due_date,currency,amount_due_usd_m,investment_call_usd_m,management_fee_usd_m,partnership_expense_usd_m,unfunded_commitment_before_usd_m,unfunded_commitment_after_usd_m,extraction_confidence,validation_status,review_status,source
CC_PRE_001,,2025-11-15,2025-11-15,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,Northstar Buyout Fund IV,ENT_ATLAS_INV_USD,2025-11-30,USD,3.2,2.9,0.2,0.1,23.2,20.0,1.0,Passed,Approved,historical_event
CC_PRE_002,,2026-02-12,2026-02-12,PF_BLUE_HORIZON_III,Blue Horizon Ventures III,Blue Horizon Ventures III,ENT_ATLAS_INV_USD,2026-02-28,USD,1.4,1.2,0.15,0.05,16.4,15.0,1.0,Passed,Approved,historical_event
CC_MAY_001,PDF_001,2026-05-10,2026-05-10,PF_NORTHSTAR_IV,Northstar Buyout Fund IV,Northstar Buyout Fund IV,ENT_ATLAS_INV_USD,2026-05-24,USD,4.2,3.8,0.25,0.15,20.0,15.8,0.98,Passed,Approved,may_document_extraction
CC_MAY_002,PDF_002,2026-05-17,2026-05-17,PF_SEEDSPRING_I,SeedSpring SEA VC I,SeedSpring Southeast Asia VC Fund I,ENT_ATLAS_INV_USD,2026-05-22,USD,2.75,2.5,0.2,0.05,12.0,,0.77,Failed,Pending Review,may_document_extraction
CC_PRE_003,,2025-08-14,2025-08-14,PF_CRESCENT_DIRECT_LEND,Crescent Direct Lending Fund,Crescent Direct Lending Fund,ENT_ATLAS_INV_USD,2025-08-29,USD,1.8,1.6,0.15,0.05,17.0,15.2,1.0,Passed,Approved,historical_event
CC_PRE_004,,2025-10-18,2025-10-18,PF_HOME_MULTIFAMILY,HomeStone Multifamily Fund,HomeStone Multifamily Fund,ENT_ATLAS_INV_USD,2025-11-03,USD,2.2,2.0,0.15,0.05,18.0,15.8,1.0,Passed,Approved,historical_event
CC_PRE_005,,2026-03-11,2026-03-11,PF_INFRA_CORE,Evergreen Core Infrastructure Fund,Evergreen Core Infrastructure Fund,ENT_ATLAS_INV_USD,2026-03-27,USD,1.6,1.4,0.15,0.05,11.6,10.0,1.0,Passed,Approved,historical_event
CC_PRE_003,,2025-08-14,2025-08-14,PF_CRESCENT_DIRECT_LEND,Crescent Direct Lending Fund,Crescent Direct Lending Fund,ENT_ATLAS_INV_USD,2025-08-29,USD,1.8,1.6,0.15,0.05,17.0,15.2,1.0,Passed,Approved,historical_event
CC_PRE_004,,2025-10-18,2025-10-18,PF_HOME_MULTIFAMILY,HomeStone Multifamily Fund,HomeStone Multifamily Fund,ENT_ATLAS_INV_USD,2025-11-03,USD,2.2,2.0,0.15,0.05,18.0,15.8,1.0,Passed,Approved,historical_event
CC_PRE_005,,2026-03-11,2026-03-11,PF_INFRA_CORE,Evergreen Core Infrastructure Fund,Evergreen Core Infrastructure Fund,ENT_ATLAS_INV_USD,2026-03-27,USD,1.6,1.4,0.15,0.05,11.6,10.0,1.0,Passed,Approved,historical_event
